0119E,5R1k/4q2p/3Np1bP/4P3/3P2P1/2n5/8/5QK1 b KQkq - 0 1,e7f8 f1f8,https://lichess.org/training/0119E
01LBw,r6r/ppp1kBp1/2np4/4p3/4P1p1/P2P3q/1PPN1P2/R2Q1RK1 w KQkq - 0 1,d1g4 h3g4,https://lichess.org/training/01LBw
01aGC,3Q3k/6pp/8/2p1q3/P3p3/3p3P/1rr2PP1/1R3RK1 b KQkq - 0 1,e5e8 d8e8,https://lichess.org/training/01aGC
02ZRF,r7/pp6/4N3/3p1p2/B5n1/2QP2k1/PPP2q2/R1K1q3 w KQkq - 0 1,c3e1 f2e1,https://lichess.org/training/02ZRF
02k1p,1Q3k2/1p2qpp1/p1p4p/4P3/PP3PP1/7P/8/6K1 b KQkq - 0 1,e7d8 b8d8,https://lichess.org/training/02k1p
03tA7,r1bq1k1r/p2p1pb1/2B3pp/2p1Pp2/5B1P/2P2N2/PP1Q1PP1/R3K2R b KQkq - 0 1,d7c6 d2d8,https://lichess.org/training/03tA7
04G2a,r1bq1rk1/pp3pp1/2n1p2p/4b3/2BP4/2R3B1/PP3PPP/3Q1K1R w KQkq - 0 1,d4e5 d8d1,https://lichess.org/training/04G2a
0540T,2bR1k1r/p3qp2/2p1p1p1/2p1P1QN/2P5/1P4P1/P4P2/6K1 b KQkq - 0 1,e7d8 g5d8,https://lichess.org/training/0540T
05MED,8/8/P6p/6p1/4R3/1P1K4/r4p2/3k3Q b KQkq - 0 1,f2f1q h1f1,https://lichess.org/training/05MED
05YqI,r1k1Rq2/ppr5/7p/1Q4pn/3P2b1/2P5/PP1N2PP/R5K1 b KQkq - 0 1,f8e8 b5e8,https://lichess.org/training/05YqI
064LL,r2q1rk1/pb3p2/1ppp3Q/3Pp1P1/2P5/1P1P4/1P3PP1/R3K2R b KQkq - 0 1,d8g5 h6g5,https://lichess.org/training/064LL
066pH,1kqR1Q2/pp3p1p/8/8/8/1NP3rP/PPn1r1P1/1K4R1 b KQkq - 0 1,c8d8 f8d8,https://lichess.org/training/066pH
069Yu,r1bqk2r/p4pp1/5P1p/8/2p5/2b5/PPP3PP/R1BQR1K1 b KQkq - 0 1,e8f8 d1d8,https://lichess.org/training/069Yu
06Lee,5R1k/5Q1p/p5pq/1p3p2/1P6/4p3/P6N/7K b KQkq - 0 1,h6f8 f7f8,https://lichess.org/training/06Lee
06ORP,5q1k/6p1/1p4Pp/8/2Qp4/2P4K/3r4/5R2 b KQkq - 0 1,f8c8 c4c8,https://lichess.org/training/06ORP
07acA,7Q/3kn3/3p4/5p1P/4p3/1P1q4/P1p2P2/K1R5 w KQkq - 0 1,h8c3 d3c3,https://lichess.org/training/07acA
07uY5,6rk/p2brp2/6q1/8/3P4/2P2P2/P5PQ/R4BK1 b KQkq - 0 1,g6h6 h2h6,https://lichess.org/training/07uY5
08n7m,r1bR1knr/ppq1ppbp/6p1/1B6/4P3/4B3/P1PQ1PPP/4K2R b KQkq - 0 1,c7d8 d2d8,https://lichess.org/training/08n7m
