00QCD,3r1rk1/1Q3ppp/1q2pb2/8/1P1N4/4P1P1/3B1PBP/R5K1 b KQkq - 0 1,b6b7 g2b7 f6d4 e3d4,https://lichess.org/training/00QCD
00QQS,2r3k1/1p1q1ppp/4p3/Q7/3P4/P1B5/1Pr2PPP/R5K1 b KQkq - 0 1,d7d4 c3d4 c2c1 a5e1,https://lichess.org/training/00QQS
01pZn,2r2rk1/p1p3p1/1q2Q2p/8/5P2/1BP3P1/PP5P/3R3K b KQkq - 0 1,b6e6 b3e6 g8h7 e6c8,https://lichess.org/training/01pZn
02HUu,6k1/5r1p/p3p2Q/2P1P1P1/1P3bbP/3p4/1R4K1/8 w KQkq - 0 1,g5g6 f4h6 g6f7 g8f7,https://lichess.org/training/02HUu
03zaB,rn6/1ppk2b1/p2p2p1/3P1rB1/3qQ2p/P1N5/1PP3PP/R4RK1 w KQkq - 0 1,e4d4 g7d4 g1h1 f5g5,https://lichess.org/training/03zaB
04fLy,2r4r/1p1bkpQp/4p1p1/pP1nP3/P2B3P/5N2/5RPK/5q2 b KQkq - 0 1,f1f2 d4f2 h7h6 f2c5,https://lichess.org/training/04fLy
05B3O,r3kr2/ppp2pQp/4bq2/6b1/2B5/2P5/P1P2PPP/1K1RR3 w KQkq - 0 1,g7f6 g5f6 c4e6 f7e6,https://lichess.org/training/05B3O
05Jvu,3qk1nr/1b1p1pp1/p2Pp3/1p1P3p/5B2/2rB1QP1/PP3P1P/R3R1K1 w KQkq - 0 1,d5e6 b7f3 e6d7 e8d7,https://lichess.org/training/05Jvu
06YkJ,1r3rk1/6p1/pN1q3p/Pp1P2b1/1Bp1bp2/7P/1P1QR1P1/3R2K1 b KQkq - 0 1,f4f3 b4d6 f3e2 d2e2,https://lichess.org/training/06YkJ
07ME7,r4r1k/p2qbp1p/2b5/1p1p1BQ1/3P4/2N4P/PPP3P1/2KR3R w KQkq - 0 1,f5d7 e7g5 c1b1 c6d7,https://lichess.org/training/07ME7
0918Z,1r1r2k1/3N1p1p/pP4p1/4p3/2B1P3/1Q2q3/1P4PP/3R3K b KQkq - 0 1,e3b3 c4b3 d8d7 d1d7,https://lichess.org/training/0918Z
0AEp6,r4n1r/1bq3k1/pp3b2/2p1ppp1/P1P5/1P3P2/1B1Q2PP/R3RBKN w KQkq - 0 1,d2g5 f6g5 b2e5 c7e5,https://lichess.org/training/0AEp6
0AHr6,r1b2rk1/p1q2ppp/3b4/2ppp1B1/6Q1/2NP2P1/PPP2P1P/R4RK1 w KQkq - 0 1,c3d5 c8g4 d5c7 d6c7,https://lichess.org/training/0AHr6
0APdT,2r3k1/5ppp/3qp3/2Bn4/NpQ5/1P6/PP3PPP/6K1 b KQkq - 0 1,d5b6 c5d6 b6c4 b3c4,https://lichess.org/training/0APdT
0DJ7U,2kr1bnr/pp2pppp/8/8/2qN4/8/PPQ1bPPP/RNB2RK1 w KQkq - 0 1,c2c4 e2c4 c1e3 c4f1,https://lichess.org/training/0DJ7U
0Dwxm,r1bq1bkr/pp4pp/2n5/3Qp3/2Bp4/8/PPP2PPP/RNB2RK1 b KQkq - 0 1,d8d5 c4d5 c8e6 d5e6,https://lichess.org/training/0Dwxm
0EjQX,2r2rk1/5p1p/p3bQpP/8/P4R2/3Bq3/6P1/2q2R1K b KQkq - 0 1,c1f1 d3f1 e3c3 f4d4 c3d4 f6d4,https://lichess.org/training/0EjQX
0F2I5,3r3k/5Q1p/6p1/p7/1pB1P3/1P3P1P/P1p3P1/q4R1K b KQkq - 0 1,a1f1 c4f1 c2c1q f7f6 h8g8 f6d8,https://lichess.org/training/0F2I5
0HAgO,5b1r/p1p3pp/2brpkq1/4N3/BQ2n3/8/PPP1nPPP/RNB2R1K w KQkq - 0 1,b4d6 f8d6 e5g6 h7g6,https://lichess.org/training/0HAgO
0HFXr,2r1rbk1/3q1p1p/PB2p1p1/RB1pP3/5P2/2p1Q3/6PP/7K b KQkq - 0 1,c3c2 b5d7 c2c1q e3g1,https://lichess.org/training/0HFXr
0HZpJ,r7/ppQn2kp/2p2qp1/3p1bN1/8/2P5/PP1N2PP/5RK1 w KQkq - 0 1,c7d7 f5d7 f1f6 g7f6,https://lichess.org/training/0HZpJ
0IDaG,r3kb1r/ppp2ppp/2n1b3/3Bp1q1/8/3P1Q2/PPP2PPP/RNB1K2R b KQkq - 0 1,c6d4 c1g5 d4f3 d5f3,https://lichess.org/training/0IDaG
0IQk5,3r2k1/1p3pp1/7p/p1bn1q2/4B3/NQPr4/P3RPPP/R5K1 b KQkq - 0 1,d3c3 e4f5 c3b3 a2b3,https://lichess.org/training/0IQk5
0JQE2,Q7/pbkp3p/1pnq2pB/5p2/2P5/6P1/P4P1P/4R1K1 w KQkq - 0 1,h6f4 b7a8 f4d6 c7d6,https://lichess.org/training/0JQE2
0JreC,1r3bk1/5p1p/Qq2b1p1/4p3/3rP3/1PN2P2/P1PR2PP/2K2B1R b KQkq - 0 1,b6a6 f1a6 f8h6 h1d1 d4d2 d1d2,https://lichess.org/training/0JreC
0NRf3,r5k1/p2RRB1p/6p1/2p1b3/3p1P2/6P1/q6P/1r1Q2K1 b KQkq - 0 1,g8h8 f7a2 b1d1 g1g2 d1d2 g2h3 d2a2 f4e5 a2e2 e5e6 d4d3 e7h7,https://lichess.org/training/0NRf3
0Nb6M,1Bbr2k1/4bppp/p1p1pn2/1p2q3/8/P1N2B2/1PP2PPP/R2Q1RK1 b KQkq - 0 1,d8d1 b8e5 d1a1 f1a1,https://lichess.org/training/0Nb6M
0Njv9,r1r3k1/6pp/2b1p1n1/p3PpP1/2BP4/1qP5/1B2QRPP/6K1 b KQkq - 0 1,c6b5 c4b3 b5e2 b3e6,https://lichess.org/training/0Njv9
0OKJU,2r1k2r/1q1bbppp/B1nppn2/8/1PQ1PB2/P4N2/5PPP/R1R3K1 b KQkq - 0 1,c6a7 a6b7 c8c4 c1c4,https://lichess.org/training/0OKJU
0OPRb,4Qnk1/6b1/p1b1P3/1p2n3/8/P6P/1PP3P1/5R1K w KQkq - 0 1,e6e7 c6e8 e7f8r g7f8,https://lichess.org/training/0OPRb
0PB9H,r4rk1/1p5p/1q2pbpP/n2p4/6P1/pPP1B3/P2Q1P2/1K1R1B1R b KQkq - 0 1,a5b3 e3b6 b3d2 d1d2,https://lichess.org/training/0PB9H
0PEAg,r1b2rk1/3p1pbp/4p1p1/3nP3/1P1n1P2/P1qB4/1BP3PP/1R1Q1R1K b KQkq - 0 1,d5e3 b2c3 e3d1 c3d4,https://lichess.org/training/0PEAg
0PPUF,5r1k/6q1/p5bb/1p2p1NB/7P/8/PP1Q1PP1/5RK1 w KQkq - 0 1,g5e6 h6d2 e6g7 h8g7 h5g6 g7g6,https://lichess.org/training/0PPUF
0PusG,2r1k2r/1p3ppp/p1q1pn2/3p4/1b1P1B2/2NBP3/3Q1PPP/R1R3K1 w KQkq - 0 1,c3d5 b4d2 c1c6 c8c6 d5f6 g7f6,https://lichess.org/training/0PusG
0Py09,8/8/8/k2BPK2/5P2/r7/7p/8 b KQkq - 0 1,h2h1q d5h1 a5b6 e5e6 b6c7 f5e5,https://lichess.org/training/0Py09
0Qhxs,r3k1r1/pp1n1p1p/4p3/3pNb2/2pP2B1/1PP4q/P5R1/RN2Q1K1 b KQkq - 0 1,d7e5 g4h3 e5f3 g1f2 g8g2 f2f3,https://lichess.org/training/0Qhxs
0QvDF,1nb1r1k1/2p2p1p/1pP3p1/1Pq5/3N1PP1/2Q1P2P/2KB3R/r2R4 b KQkq - 0 1,c5c3 d2c3 a1a2 c3b2,https://lichess.org/training/0QvDF
0RLyh,3k4/p2pb3/1p2p2p/1Nq1P1r1/5p2/3B1b2/PPP2QPP/R4RK1 w KQkq - 0 1,f2c5 e7c5 f1f2 g5g2,https://lichess.org/training/0RLyh
0RQDY,7Q/1q3p2/k3p1r1/1b1pP1N1/p1pP3P/2P3P1/2P2P2/1R4K1 w KQkq - 0 1,h8e8 b5e8 b1b7 a6b7,https://lichess.org/training/0RQDY
0RlUH,3R4/2p2ppk/1pP2rb1/pB5p/P3n3/4QNqP/2P3P1/2B3K1 w KQkq - 0 1,e3e4 g6e4 f3g5 h7g6 g5e4 g3e1,https://lichess.org/training/0RlUH
0Rn5i,rn1k1b1r/ppN2qpp/3p4/4Pb2/4Q3/8/PPP2PPP/R1B1KB1R w KQkq - 0 1,e5e6 f5e4 e6f7 d8c7,https://lichess.org/training/0Rn5i
